spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id
signage,clarity,follow directions,positive,202103_113.81985679404843_22.765410691474077.png
pathways,understandable layout,explore freely,positive,202103_113.81985679404843_22.765410691474077.png
roads,degree of order,easier navigation,positive,202103_113.8237318_22.6662939.png
buildings,understandability,grasping arrangement,positive,202103_113.8237318_22.6662939.png
infrastructure,sense of organization,increased comfort,positive,202103_113.8237318_22.6662939.png
markings,clarity,following directions,positive,202103_113.8237318_22.6662939.png
junction,clear and organized,navigate effectively,positive,202103_113.82149994766364_22.77431879666303.png
traffic,managed flow,follow road rules,positive,202103_113.82149994766364_22.77431879666303.png
buildings,distinct areas,identify zones,positive,202103_113.82149994766364_22.77431879666303.png
landscaping,logical layout,explore surroundings,positive,202103_113.82149994766364_22.77431879666303.png
buildings,moderate coherence,navigate space,neutral,202103_113.82008186652787_22.75965661067105.png
road,basic understanding,travel efficiently,positive,202103_113.82008186652787_22.75965661067105.png
landscape,haphazard arrangement,explore surroundings,negative,202103_113.82008186652787_22.75965661067105.png
roads,sense of coherence,easier navigation,positive,202103_113.82320452686358_22.745290926067998.png
buildings,visual order,increased understanding,positive,202103_113.82320452686358_22.745290926067998.png
trees,structured environment,enhanced comfort,positive,202103_113.82320452686358_22.745290926067998.png
street,functional impression,navigate effectively,positive,202103_113.82555483300956_22.691434778147798.png
buildings,less coherent impression,hesitate to explore,negative,202103_113.82555483300956_22.691434778147798.png
construction,disrupted environment,avoid certain areas,negative,202103_113.82555483300956_22.691434778147798.png
intersection,sense of predictability,navigate easily,positive,202103_113.8244835_22.775231100000003.png
lanes,clear organization,follow traffic rules,positive,202103_113.8244835_22.775231100000003.png
buildings,comprehensibility,explore surroundings,positive,202103_113.8244835_22.775231100000003.png
roads,logical pattern,plan routes,positive,202103_113.8244835_22.775231100000003.png
street,sense of predictability,navigating confidently,positive,202103_113.8247304_22.6439059.png
buildings,functional order,engaging with surroundings,positive,202103_113.8247304_22.6439059.png
traffic,predictability,planning routes,positive,202103_113.8247304_22.6439059.png
construction,disruption,avoiding area,negative,202103_113.8247304_22.6439059.png
highways,sense of order,traffic flow,positive,202103_113.8239071796731_22.75151828962094.png
cranes,minor disruptions,perceived disorder,negative,202103_113.8239071796731_22.75151828962094.png
street,chaotic and complex,hesitation to navigate,negative,202103_113.8263529_22.676592799999995.png
buildings,lack of harmony,confusion in movement,negative,202103_113.8263529_22.676592799999995.png
overpasses,disorderly arrangement,avoidance of certain areas,negative,202103_113.8263529_22.676592799999995.png
traffic,busy environment,cautious crossing,negative,202103_113.8263529_22.676592799999995.png
street,sense of order,navigate efficiently,positive,202103_113.82636226744971_22.67478843036012.png
trees,enhanced aesthetic,enjoy surroundings,positive,202103_113.82636226744971_22.67478843036012.png
buildings,feeling of coherence,engage with environment,positive,202103_113.82636226744971_22.67478843036012.png
vehicles,functional organization,utilize space effectively,positive,202103_113.82636226744971_22.67478843036012.png
street,less than orderly impression,avoidance of the area,negative,202103_113.8264963501249_22.68374108533307.png
buildings,confusion about organization,hesitation to navigate,negative,202103_113.8264963501249_22.68374108533307.png
cars,visual clutter,distraction from surroundings,negative,202103_113.8264963501249_22.68374108533307.png
leaves,disorderliness,lack of engagement,negative,202103_113.8264963501249_22.68374108533307.png
signage,diminished coherence,overwhelm in decision-making,negative,202103_113.8264963501249_22.68374108533307.png
buildings,clear organizational structure,navigate effectively,positive,202103_113.832775_22.6944485.png
crosswalks,sense of safety,cross streets confidently,positive,202103_113.832775_22.6944485.png
traffic lanes,orderly movement,drive smoothly,positive,202103_113.832775_22.6944485.png
shops,logical arrangement,shop conveniently,positive,202103_113.832775_22.6944485.png
businesses,commercial viability,engage in commerce,positive,202103_113.832775_22.6944485.png
street,moderate coherence,navigate safely,neutral,202103_113.83313610000002_22.6414862.png
barriers,disrupted order,avoid construction zone,negative,202103_113.83313610000002_22.6414862.png
machinery,disrupted coherence,stay alert,negative,202103_113.83313610000002_22.6414862.png
construction,visually chaotic environment,feel disorganized,negative,202103_113.83460728218415_22.717314912300743.png
vehicles,lack of clear organization,difficult to discern flow,negative,202103_113.83460728218415_22.717314912300743.png
equipment,sense of purpose missing,feel disoriented,negative,202103_113.83460728218415_22.717314912300743.png
trucks,disorganized environment,decreased engagement,negative,202103_113.8370748202885_22.718386118054394.png
barriers,lack of order,avoidance of space,negative,202103_113.8370748202885_22.718386118054394.png
structures,confusion,hesitation to use area,negative,202103_113.8370748202885_22.718386118054394.png
street,sense of coherence,easier navigation,positive,202103_113.8344105_22.7221322.png
traffic,organized flow,predictable movement,positive,202103_113.8344105_22.7221322.png
infrastructure,clear order,efficient use of space,positive,202103_113.8344105_22.7221322.png
buildings,distinct areas,recognition of space,positive,202103_113.8344105_22.7221322.png
greenery,intended placement,enhanced aesthetic appreciation,positive,202103_113.8344105_22.7221322.png
road,sense of disarray,avoidance of the area,negative,202103_113.8352526_22.7190171.png
buildings,lack of structure,confusion about navigation,negative,202103_113.8352526_22.7190171.png
machinery,chaotic environment,hesitation to engage,negative,202103_113.8352526_22.7190171.png
fencing,obstruction,deterrence from exploration,negative,202103_113.8352526_22.7190171.png
construction,temporary disruption,avoidance of the area,negative,202103_113.8352526_22.7190171.png
layout,sense of order,navigate effectively,positive,202103_113.8369981_22.600661.png
roads,comprehensible arrangement,move confidently,positive,202103_113.8369981_22.600661.png
buildings,moderate coherence,engage with surroundings,neutral,202103_113.8369981_22.600661.png
shops,designated places,visit for needs,positive,202103_113.8369981_22.600661.png
construction,disruption of order,avoid areas,negative,202103_113.8369981_22.600661.png
street,understandable environment,navigate effectively,positive,202103_113.83610066497062_22.683341158769842.png
signs,organized environment,follow directions,positive,202103_113.83610066497062_22.683341158769842.png
storefronts,moderate coherence,engage with businesses,neutral,202103_113.83610066497062_22.683341158769842.png
layout,lack of natural order,feel disoriented,negative,202103_113.83610066497062_22.683341158769842.png
layout,sense of order,navigating effectively,positive,202103_113.837714_22.7391328.png
traffic,coherence,following traffic rules,positive,202103_113.837714_22.7391328.png
buildings,perceived order,appreciating aesthetics,neutral,202103_113.837714_22.7391328.png
styles,slight disorder,questioning coherence,negative,202103_113.837714_22.7391328.png
street,somewhat chaotic visual impression,less engagement with space,negative,202103_113.8394057_22.623110999999994.png
buildings,less organized visual impression,reduced comfort,negative,202103_113.8394057_22.623110999999994.png
sidewalks,somewhat ordered layout,increased navigation ease,positive,202103_113.8394057_22.623110999999994.png
street,limited perception of organized structure,lack of engagement,negative,202103_113.8374563_22.744681100000005.png
buildings,lack of aesthetic appeal,disinterest in surroundings,negative,202103_113.8374563_22.744681100000005.png
utility,haphazard visual impression,avoidance of the area,negative,202103_113.8374563_22.744681100000005.png
cars,chaotic environment,hesitation to explore,negative,202103_113.8374563_22.744681100000005.png
storefronts,functional but uninviting,minimal interaction,negative,202103_113.8374563_22.744681100000005.png
street,sense of order,increased pedestrian activity,positive,202103_113.84089195965441_22.732804113336528.png
buildings,mixed feelings,hesitation to engage,negative,202103_113.84089195965441_22.732804113336528.png
clutter,detracted sense of organization,avoidance of certain areas,negative,202103_113.84089195965441_22.732804113336528.png
street,moderate complexity,navigate effectively,neutral,202103_113.8397957_22.627127000000005.png
buildings,predictable arrangement,feel oriented,positive,202103_113.8397957_22.627127000000005.png
architecture,visual complexity,engage curiosity,negative,202103_113.8397957_22.627127000000005.png
signs,information overload,distract attention,negative,202103_113.8397957_22.627127000000005.png
advertisements,visual clutter,reduce focus,negative,202103_113.8397957_22.627127000000005.png
roads,sense of coherence,navigate effectively,positive,202103_113.841394_22.632947100000003.png
buildings,visual order,feel organized,positive,202103_113.841394_22.632947100000003.png
traffic,expected places,move smoothly,positive,202103_113.841394_22.632947100000003.png
buildings,sense of order,understanding space functionality,positive,202103_113.84227470000002_22.765698599999997.png
traffic,clear urban layout,navigating safely,positive,202103_113.84227470000002_22.765698599999997.png
infrastructure,discernible organization,easier movement,positive,202103_113.84227470000002_22.765698599999997.png
buildings,chaotic arrangement,difficulty in navigation,negative,202103_113.8423807507634_22.598042612373803.png
streets,lack of order,confusion,negative,202103_113.8423807507634_22.598042612373803.png
vehicles,visual clutter,distraction,negative,202103_113.8423807507634_22.598042612373803.png
pathways,clear but unharmonious,limited engagement,negative,202103_113.8423807507634_22.598042612373803.png
objects,high density,overwhelm,negative,202103_113.8423807507634_22.598042612373803.png
design,lack of purpose,disinterest,negative,202103_113.8423807507634_22.598042612373803.png
lanes,sense of order,navigation,positive,202103_113.8435713_22.621687999999995.png
trees,sense of integration,enjoyment of nature,positive,202103_113.8435713_22.621687999999995.png
infrastructure,sense of predictability,comfort in movement,positive,202103_113.8435713_22.621687999999995.png
road,sense of coherence,easier navigation,positive,202103_113.84374726492761_22.758766387624267.png
landscaping,organized environment,increased comfort,positive,202103_113.84374726492761_22.758766387624267.png
buildings,predictability,enhanced understanding,positive,202103_113.84374726492761_22.758766387624267.png
road,somewhat coherent layout,navigating the area,positive,202103_113.8439888147524_22.715250541852388.png
cars,organized environment,parking and movement,positive,202103_113.8439888147524_22.715250541852388.png
buildings,structured surroundings,engaging with space,positive,202103_113.8439888147524_22.715250541852388.png
trees,enhanced understanding,resting or socializing,positive,202103_113.8439888147524_22.715250541852388.png
sidewalks,clear pathways,walking or commuting,positive,202103_113.8439888147524_22.715250541852388.png
buildings,sense of order,navigate easily,positive,202103_113.8474565_22.754367800000004.png
roads,structured environment,follow traffic rules,positive,202103_113.8474565_22.754367800000004.png
sidewalks,easy to comprehend,walk comfortably,positive,202103_113.8474565_22.754367800000004.png
buildings,somewhat orderly,navigating spaces,neutral,202103_113.84743210000002_22.743424800000003.png
roads,less maintained,avoiding areas,negative,202103_113.84743210000002_22.743424800000003.png
bicycles,industrial/residential mix,utilizing transport,neutral,202103_113.84743210000002_22.743424800000003.png
road,sense of disruption,avoidance of the area,negative,202103_113.8482554_22.706193100000004.png
barriers,lack of organization,hesitation to engage,negative,202103_113.8482554_22.706193100000004.png
buildings,incomplete picture,curiosity about the space,neutral,202103_113.8482554_22.706193100000004.png
equipment,sense of chaos,desire to leave,negative,202103_113.8482554_22.706193100000004.png
fencing,feeling of confinement,avoidance of interaction,negative,202103_113.8482554_22.706193100000004.png
buildings,sense of predictability,easier navigation,positive,202103_113.85128527796019_22.75136400234624.png
sidewalks,clear organization,increased comfort,positive,202103_113.85128527796019_22.75136400234624.png
lanes,understanding of space,enhanced movement,positive,202103_113.85128527796019_22.75136400234624.png
parking,sense of order,increased organization,positive,202103_113.84922368099801_22.74538812284384.png
buildings,structured environment,enhanced community feeling,positive,202103_113.84922368099801_22.74538812284384.png
signs,clarity,easier navigation,positive,202103_113.84922368099801_22.74538812284384.png
environment,general orderliness,comfort in space,positive,202103_113.84922368099801_22.74538812284384.png
road,sense of order,navigating efficiently,positive,202103_113.8505731_22.571854.png
traffic,organized flow,following traffic rules,positive,202103_113.8505731_22.571854.png
buildings,predictable visual order,exploring the area,positive,202103_113.8505731_22.571854.png
sidewalks,structured layout,walking comfortably,positive,202103_113.8505731_22.571854.png
greenery,intentional integration,enjoying nature,positive,202103_113.8505731_22.571854.png
road,moderate coherence,navigate effectively,positive,202103_113.85131251466879_22.718063397632303.png
buildings,discernible order,explore surroundings,positive,202103_113.85131251466879_22.718063397632303.png
barriers,lack of strong organization,hesitate to engage,negative,202103_113.85131251466879_22.718063397632303.png
road,somewhat disjointed impression,feel confused,negative,202103_113.8521336_22.690685799999994.png
green spaces,somewhat disjointed impression,feel confused,negative,202103_113.8521336_22.690685799999994.png
utility,not immediately intuitive,feel disoriented,negative,202103_113.8521336_22.690685799999994.png
parking,some elements feel out of place,feel uncomfortable,negative,202103_113.8521336_22.690685799999994.png
roads,sense of order,navigate efficiently,positive,202103_113.8543221_22.753289499999994.png
signs,guidance and clarity,follow directions,positive,202103_113.8543221_22.753289499999994.png
buildings,planned environment,feel secure,positive,202103_113.8543221_22.753289499999994.png
pathways,organized movement,walk comfortably,positive,202103_113.8543221_22.753289499999994.png
environment,somewhat organized,navigate effectively,positive,202103_113.8550988_22.6202562.png
construction,visual disruption,avoid area,negative,202103_113.8550988_22.6202562.png
buildings,lack of coherence,feel disoriented,negative,202103_113.8550988_22.6202562.png
buildings,sense of organization,navigating the area,positive,202103_113.85466762277312_22.734314833369442.png
sidewalks,sense of order,walking comfortably,positive,202103_113.85466762277312_22.734314833369442.png
traffic,slight distraction,caution while crossing,negative,202103_113.85466762277312_22.734314833369442.png
signs,visual clutter,avoiding confusion,negative,202103_113.85466762277312_22.734314833369442.png
vehicles,slight detractor,maneuvering around obstacles,negative,202103_113.85466762277312_22.734314833369442.png
street,organized layout,navigate easily,positive,202103_113.85707134519878_22.76829642525124.png
buildings,somewhat orderly,feel comfortable,positive,202103_113.85707134519878_22.76829642525124.png
construction,disorganization,avoid areas,negative,202103_113.85707134519878_22.76829642525124.png
scene,reduced sense of order,hesitate to explore,negative,202103_113.85707134519878_22.76829642525124.png
buildings,sense of order,navigate easily,positive,202103_113.85631150000002_22.6166949.png
roads,clarity in layout,follow traffic rules,positive,202103_113.85631150000002_22.6166949.png
traffic lights,safety awareness,wait for signals,positive,202103_113.85631150000002_22.6166949.png
pedestrian crossings,sense of security,cross safely,positive,202103_113.85631150000002_22.6166949.png
shops,functional space,engage in shopping,positive,202103_113.85631150000002_22.6166949.png
street,sense of order,navigate confidently,positive,202103_113.86103623469046_22.661810988778555.png
buildings,structured environment,engage with surroundings,positive,202103_113.86103623469046_22.661810988778555.png
streetlights,safety and security,move freely at night,positive,202103_113.86103623469046_22.661810988778555.png
overpass,ease of movement,cross roads safely,positive,202103_113.86103623469046_22.661810988778555.png
buildings,sense of structure,navigate effectively,positive,202103_113.85770470000001_22.582482999999996.png
shops,sense of predictability,engage in shopping,positive,202103_113.85770470000001_22.582482999999996.png
traffic,organized flow,move safely,positive,202103_113.85770470000001_22.582482999999996.png
street,clear urban order,explore surroundings,positive,202103_113.85770470000001_22.582482999999996.png
street,degree of order and organization,navigate predictably,positive,202103_113.86604796706307_22.558280362407594.png
buildings,predictable and understandable environment,feel secure,positive,202103_113.86604796706307_22.558280362407594.png
styles,lack of seamless integration,experience disconnection,negative,202103_113.86604796706307_22.558280362407594.png
streetscape,moderate score,limited engagement,neutral,202103_113.86604796706307_22.558280362407594.png
trees,coherent visual experience,easily navigate the space,positive,202103_113.86201818150258_22.760920656155452.png
buildings,sense of order,understand the structure,positive,202103_113.86201818150258_22.760920656155452.png
roads,clear organization,follow defined paths,positive,202103_113.86201818150258_22.760920656155452.png
barriers,defined boundaries,feel secure in navigation,positive,202103_113.86201818150258_22.760920656155452.png
streetlights,enhanced visibility,move confidently at night,positive,202103_113.86201818150258_22.760920656155452.png
trees,sense of order,increased usage of space,positive,202103_113.86854584962914_22.602575394764475.png
road,planned environment,encouragement to walk,positive,202103_113.86854584962914_22.602575394764475.png
construction,slight distraction,avoidance of area,negative,202103_113.86854584962914_22.602575394764475.png
road,clear organization,navigate easily,positive,202103_113.866054_22.6085615.png
sidewalks,sense of safety,walk comfortably,positive,202103_113.866054_22.6085615.png
buildings,moderate disarray,explore cautiously,negative,202103_113.866054_22.6085615.png
wires,visual clutter,avoid distractions,negative,202103_113.866054_22.6085615.png
shops,mixed aesthetics,shop selectively,neutral,202103_113.866054_22.6085615.png
roads,sense of order,navigate effectively,positive,202103_113.86954305606807_22.57133658639084.png
buildings,understandable layout,engage with environment,positive,202103_113.86954305606807_22.57133658639084.png
barriers,temporary disarray,avoid construction areas,negative,202103_113.86954305606807_22.57133658639084.png
traffic,disrupted flow,exercise caution,negative,202103_113.86954305606807_22.57133658639084.png
road,sense of order,increased organization,positive,202103_113.87053797482604_22.51346733953433.png
vehicles,lack of natural coherence,decreased restorative quality,negative,202103_113.87053797482604_22.51346733953433.png
markings,systematic clarity,enhanced navigation,positive,202103_113.87053797482604_22.51346733953433.png
parking,functional organization,efficient use of space,positive,202103_113.87053797482604_22.51346733953433.png
road,sense of order,easier navigation,positive,202103_113.8703657_22.786703699999997.png
buildings,organized layout,enhanced understanding,positive,202103_113.8703657_22.786703699999997.png
traffic lights,structured arrangement,increased safety awareness,positive,202103_113.8703657_22.786703699999997.png
road signs,clarity in direction,improved decision-making,positive,202103_113.8703657_22.786703699999997.png
layout,clear organization,navigate easily,positive,202103_113.8728719_22.5602436.png
roads,sense of order,follow paths,positive,202103_113.8728719_22.5602436.png
buildings,logical design,appreciate symmetry,positive,202103_113.8728719_22.5602436.png
infrastructure,structured environment,feel secure,positive,202103_113.8728719_22.5602436.png
roads,sense of order,navigate efficiently,positive,202103_113.8723694340504_22.496389709444315.png
greenery,calming effect,spend time outdoors,positive,202103_113.8723694340504_22.496389709444315.png
lanes,clarity in movement,follow traffic rules,positive,202103_113.8723694340504_22.496389709444315.png
intersection,sense of order,increased navigation efficiency,positive,202103_113.8770939_22.5847014.png
buildings,organized environment,encouraged social interaction,positive,202103_113.8770939_22.5847014.png
streetlights,safety and security,promoted nighttime activity,positive,202103_113.8770939_22.5847014.png
signage,clarity and guidance,reduced confusion,positive,202103_113.8770939_22.5847014.png
roads,feeling of coherence,easier navigation,positive,202103_113.87880600086551_22.78372813730076.png
sidewalks,sense of order,increased comfort,positive,202103_113.87880600086551_22.78372813730076.png
buildings,logical understanding,enhanced exploration,positive,202103_113.87880600086551_22.78372813730076.png
intersection,structured environment,easy navigation,positive,202103_113.87299925398183_22.768421512068993.png
road,logical design,understanding organization,positive,202103_113.87299925398183_22.768421512068993.png
signage,clear guidance,following directions,positive,202103_113.87299925398183_22.768421512068993.png
traffic lights,safety assurance,compliance with traffic rules,positive,202103_113.87299925398183_22.768421512068993.png
roads,functional but lacks coherence,limited engagement,negative,202103_113.8783431_22.5970722.png
sidewalks,utilitarian structure,minimal interaction,negative,202103_113.8783431_22.5970722.png
buildings,lack of natural order,reduced restorative experience,negative,202103_113.8783431_22.5970722.png
traffic,organized chaos,cautious navigation,neutral,202103_113.8783431_22.5970722.png
barriers,ongoing development,temporary adaptation,neutral,202103_113.8783431_22.5970722.png
roads,sense of order,navigate efficiently,positive,202103_113.87321897177686_22.597820643494256.png
buildings,feeling of organization,engage with surroundings,positive,202103_113.87321897177686_22.597820643494256.png
infrastructure,perception of safety,cross streets confidently,positive,202103_113.87321897177686_22.597820643494256.png
overpass,impression of planning,utilize space effectively,positive,202103_113.87321897177686_22.597820643494256.png
street,chaotic visual impression,avoidance of the area,negative,202103_113.87967314810481_22.579691279734853.png
traffic,degree of organization,navigation through the space,positive,202103_113.87967314810481_22.579691279734853.png
buildings,sense of disorder,hesitation to engage,negative,202103_113.87967314810481_22.579691279734853.png
signs,clarity in navigation,following directions,positive,202103_113.87967314810481_22.579691279734853.png
vehicles,overwhelming presence,caution while crossing,negative,202103_113.87967314810481_22.579691279734853.png
construction,disruption of flow,seeking alternative routes,negative,202103_113.87967314810481_22.579691279734853.png
markings,guidance in movement,increased confidence in navigation,positive,202103_113.87967314810481_22.579691279734853.png
grid,sense of order,navigate easily,positive,202103_113.882702_22.552306799999997.png
buildings,structured environment,feel secure,positive,202103_113.882702_22.552306799999997.png
roads,clarity in movement,follow traffic rules,positive,202103_113.882702_22.552306799999997.png
infrastructure,logical arrangement,engage with space,positive,202103_113.882702_22.552306799999997.png
roads,low coherence,disorientation,negative,202103_113.88342209873709_22.587698996643812.png
buildings,low coherence,disorientation,negative,202103_113.88342209873709_22.587698996643812.png
construction,low coherence,disorientation,negative,202103_113.88342209873709_22.587698996643812.png
barricades,low coherence,disorientation,negative,202103_113.88342209873709_22.587698996643812.png
styles,low coherence,disorientation,negative,202103_113.88342209873709_22.587698996643812.png
layout,sense of order,navigate easily,positive,202103_113.8836665_22.767575199999996.png
roads,organized environment,follow traffic rules,positive,202103_113.8836665_22.767575199999996.png
buildings,planned development,explore area,positive,202103_113.8836665_22.767575199999996.png
signs,clear guidance,make informed decisions,positive,202103_113.8836665_22.767575199999996.png
markings,clarity,drive safely,positive,202103_113.8836665_22.767575199999996.png
roads,sense of disorganization,avoidance of the area,negative,202103_113.88408657078014_22.515677427295483.png
greenery,fragmented view,seeking harmony,neutral,202103_113.88408657078014_22.515677427295483.png
construction,lack of clarity,confusion about space,negative,202103_113.88408657078014_22.515677427295483.png
traffic,sense of chaos,hesitation to engage,negative,202103_113.88408657078014_22.515677427295483.png
roads,sense of predictability,navigating efficiently,positive,202103_113.88436432040571_22.579528390250747.png
buildings,organized arrangement,feeling secure,positive,202103_113.88436432040571_22.579528390250747.png
greenery,calmness,spending time outdoors,positive,202103_113.88436432040571_22.579528390250747.png
landscape,sense of coherence,engagement with environment,positive,202103_113.8879930722752_22.491444836920582.png
lanes,predictable environment,navigation,positive,202103_113.8879930722752_22.491444836920582.png
markings,orderliness,following directions,positive,202103_113.8879930722752_22.491444836920582.png
roadways,structured space,movement through space,positive,202103_113.8879930722752_22.491444836920582.png
greenery,deliberate integration,appreciation of nature,positive,202103_113.8879930722752_22.491444836920582.png
roads,sense of order,navigate easily,positive,202103_113.8880818_22.527107900000004.png
markings,clarity in navigation,follow directions,positive,202103_113.8880818_22.527107900000004.png
signals,safety awareness,wait for crossing,positive,202103_113.8880818_22.527107900000004.png
construction,visual complexity,hesitate to proceed,negative,202103_113.8880818_22.527107900000004.png
landscape,overwhelmed by density,avoid certain areas,negative,202103_113.8880818_22.527107900000004.png
street,sense of order,navigate easily,positive,202103_113.8871678_22.50216539999999.png
trees,feeling of tranquility,enjoy nature,positive,202103_113.8871678_22.50216539999999.png
buildings,sense of coherence,engage with environment,positive,202103_113.8871678_22.50216539999999.png
infrastructure,sense of safety,move confidently,positive,202103_113.8871678_22.50216539999999.png
buildings,sense of comprehensibility,navigating the space,positive,202103_113.8868901_22.530607999999997.png
trees,sense of predictability,feeling secure,positive,202103_113.8868901_22.530607999999997.png
road,logical layout,following traffic rules,positive,202103_113.8868901_22.530607999999997.png
signals,easy to grasp,making decisions,positive,202103_113.8868901_22.530607999999997.png
road,moderately low coherence,navigate through space,negative,202103_113.8881931_22.532944599999997.png
fences,disorganized environment,avoid areas,negative,202103_113.8881931_22.532944599999997.png
banners,lack of unity,question surroundings,negative,202103_113.8881931_22.532944599999997.png
greenery,scattered arrangement,feel discomfort,negative,202103_113.8881931_22.532944599999997.png
roads,sense of order,navigate efficiently,positive,202103_113.8967224_22.5385513.png
sidewalks,sense of order,walk safely,positive,202103_113.8967224_22.5385513.png
landscaped,sense of order,enjoy surroundings,positive,202103_113.8967224_22.5385513.png
traffic signs,sense of order,follow directions,positive,202103_113.8967224_22.5385513.png
buildings,sense of order,feel secure,positive,202103_113.8967224_22.5385513.png
construction,temporary disruption,avoid areas,negative,202103_113.8967224_22.5385513.png
roads,feeling of coherence,easier navigation,positive,202103_113.8967564_22.536102199999995.png
sidewalks,feeling of coherence,easier navigation,positive,202103_113.8967564_22.536102199999995.png
buildings,sense of order,increased comfort,positive,202103_113.8967564_22.536102199999995.png
streetlights,sense of safety,encouraged use of space,positive,202103_113.8967564_22.536102199999995.png
trees,sense of tranquility,inviting relaxation,positive,202103_113.8967564_22.536102199999995.png
buildings,sense of orderliness,ease in navigating,positive,202103_113.8908125_22.593600699999996.png
landscaping,predictable layout,understanding space,positive,202103_113.8908125_22.593600699999996.png
infrastructure,mental clarity,mental navigation,positive,202103_113.8908125_22.593600699999996.png
streetlights,coherence,safety perception,positive,202103_113.8908125_22.593600699999996.png
barriers,ease of understanding,confident movement,positive,202103_113.8908125_22.593600699999996.png
traffic,organized system,navigate effectively,positive,202103_113.8978857_22.5568815.png
buildings,clear understanding,move confidently,positive,202103_113.8978857_22.5568815.png
crosswalks,sense of safety,cross streets,positive,202103_113.8978857_22.5568815.png
signals,predictable environment,follow traffic rules,positive,202103_113.8978857_22.5568815.png
street,structured urban layout,navigate efficiently,positive,202103_113.8938372_22.5251348.png
buildings,sense of order,move confidently,positive,202103_113.8938372_22.5251348.png
construction,sense of disorder,hesitate or avoid areas,negative,202103_113.8938372_22.5251348.png
roads,complexity,feel overwhelmed,negative,202103_113.8938372_22.5251348.png
streets,understandable environment,navigating effectively,positive,202103_113.89841661553379_22.568377870367687.png
buildings,sense of order,feeling secure,positive,202103_113.89841661553379_22.568377870367687.png
traffic,predictable flow,moving confidently,positive,202103_113.89841661553379_22.568377870367687.png
shops,organized environment,shopping conveniently,positive,202103_113.89841661553379_22.568377870367687.png
architecture,consistent style,appreciating aesthetics,positive,202103_113.89841661553379_22.568377870367687.png
buildings,sense of order,navigating the street,positive,202103_113.9000001_22.7590412.png
sidewalk,sense of safety,walking comfortably,positive,202103_113.9000001_22.7590412.png
construction,sense of disorganization,avoiding areas,negative,202103_113.9000001_22.7590412.png
road,frustration,careful walking,negative,202103_113.9000001_22.7590412.png
properties,confusion,hesitating to explore,negative,202103_113.9000001_22.7590412.png
roads,busy functional space,navigate through area,neutral,202103_113.9001383_22.534999899999995.png
sidewalks,busy functional space,walk or commute,neutral,202103_113.9001383_22.534999899999995.png
buildings,complex visual arrangement,observe surroundings,negative,202103_113.9001383_22.534999899999995.png
construction,disruption of order,avoid areas,negative,202103_113.9001383_22.534999899999995.png
infrastructure,complex visual arrangement,navigate through area,negative,202103_113.9001383_22.534999899999995.png
road,sense of order,navigating through space,positive,202103_113.89901508559747_22.574990283990804.png
sidewalks,comfort in movement,walking or socializing,positive,202103_113.89901508559747_22.574990283990804.png
sports field,active engagement,participating in sports,positive,202103_113.89901508559747_22.574990283990804.png
buildings,sense of community,gathering or residing,positive,202103_113.89901508559747_22.574990283990804.png
construction,disjointed impression,avoiding the area,negative,202103_113.89901508559747_22.574990283990804.png
road,feeling of coherence,navigate efficiently,positive,202103_113.9020511833267_22.718847328837704.png
intersection,feeling of visual complexity,hesitate or slow down,negative,202103_113.9020511833267_22.718847328837704.png
buildings,sense of order,explore surroundings,positive,202103_113.9020511833267_22.718847328837704.png
layout,sense of order,navigate effectively,positive,202103_113.9024152_22.7378774.png
buildings,feeling of organization,engage with environment,positive,202103_113.9024152_22.7378774.png
traffic,sense of complexity,hesitate to cross,negative,202103_113.9024152_22.7378774.png
trees,psychological ease,promotes relaxation,positive,202103_113.9021045_22.559116599999996.png
buildings,sense of order,encourages navigation,positive,202103_113.9021045_22.559116599999996.png
roads,confusion,hesitation to cross,negative,202103_113.9021045_22.559116599999996.png
landscaping,aesthetic appeal,increases dwell time,positive,202103_113.9021045_22.559116599999996.png
road,sense of comprehensibility,navigating effectively,positive,202103_113.90253243626074_22.731529658514113.png
streetlights,sense of order,feeling safe at night,positive,202103_113.90253243626074_22.731529658514113.png
buildings,planned layout,exploring the area,positive,202103_113.90253243626074_22.731529658514113.png
greenery,natural order,relaxing in the environment,positive,202103_113.90253243626074_22.731529658514113.png
infrastructure,feeling overwhelmed,avoiding crowded areas,negative,202103_113.90253243626074_22.731529658514113.png
roads,sense of organization,easier navigation,positive,202103_113.90380937988313_22.791965967926878.png
trees,sense of orderliness,enhanced comfort,positive,202103_113.90380937988313_22.791965967926878.png
buildings,clear understanding of space,increased exploration,positive,202103_113.90380937988313_22.791965967926878.png
traffic signals,safety awareness,cautious movement,positive,202103_113.90380937988313_22.791965967926878.png
layout,sense of order,navigating efficiently,positive,202103_113.9070024_22.779004599999993.png
sidewalks,ease of movement,walking comfortably,positive,202103_113.9070024_22.779004599999993.png
medians,visual organization,appreciating surroundings,positive,202103_113.9070024_22.779004599999993.png
traffic,structured flow,following traffic rules,positive,202103_113.9070024_22.779004599999993.png
road,sense of order,navigate easily,positive,202103_113.9066137_22.789513899999996.png
crossing,predictable environment,cross safely,positive,202103_113.9066137_22.789513899999996.png
trees,aesthetic appeal,enjoy surroundings,positive,202103_113.9066137_22.789513899999996.png
streetlights,sense of security,move confidently,positive,202103_113.9066137_22.789513899999996.png
