spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id,behavioral_motivation_standardized
street,limited sense of being away,difficult to escape,negative,202203_113.8044636404817_22.67523148030025.png,lack of escape from responsibilities
shops,ongoing activities,source of daily nuisances,negative,202203_113.8044636404817_22.67523148030025.png,acknowledgment of responsibilities
traffic,bustling environment,distraction from daily life,negative,202203_113.8044636404817_22.67523148030025.png,escape from urban pressures
pedestrian,sense of obligation,engagement in daily routines,negative,202203_113.8044636404817_22.67523148030025.png,ongoing involvement
trees,slight departure from sterility,seeking relaxation,positive,202203_113.8828955708783_22.57293924034783.png,seeking calmness
street,functional busy environment,engaging in daily activities,negative,202203_113.8828955708783_22.57293924034783.png,engaging in daily activities
traffic,stressful atmosphere,avoiding escape,negative,202203_113.8828955708783_22.57293924034783.png,limits to escape
vendors,active environment,participating in commerce,neutral,202203_113.8828955708783_22.57293924034783.png,increased social interaction
shops,busy urban life,shopping or browsing,neutral,202203_113.8828955708783_22.57293924034783.png,engagement in shopping
road,not a place for escape,limited refuge seeking,negative,202203_113.90067206584965_22.5678543452375.png,seek tranquility
trees,some visual separation,attempt to find tranquility,neutral,202203_113.90067206584965_22.5678543452375.png,find solace
buildings,connected to urban hustle,avoidance of stress,negative,202203_113.90067206584965_22.5678543452375.png,avoidance of bothersome elements
intersection,lack of escape,transit activity,negative,202207_113.7899513_22.7557094.png,feeling of escape
traffic,mental detachment,none,negative,202207_113.7899513_22.7557094.png,none
infrastructure,not a refuge,none,negative,202207_113.7899513_22.7557094.png,none
trees,slight sense of escape,seeking refuge,positive,202203_113.91176155987927_22.577002831060557.png,seeking serenity
urban bustle,not a complete refuge,enduring demands,negative,202203_113.91176155987927_22.577002831060557.png,engagement with daily concerns
trees,natural element,feel relaxed,positive,202207_114.0390344_22.565740199999993.png,seek tranquility
intersection,lack of escape,continue thinking,negative,202207_114.0390344_22.565740199999993.png,stay present
buildings,urban nuisances,avoid stopping,negative,202207_114.0390344_22.565740199999993.png,ongoing engagement with daily life
buildings,sense of being away,separation from distractions,positive,202211_113.77505982771899_22.723719831714774.png,seek escape
vehicles,lack of refuge,increased mental demands,negative,202211_113.77505982771899_22.723719831714774.png,amplified attention on routine obligations
greenery,distraction from demands,seeking escape,positive,202207_114.0415258_22.5271703.png,difficulty in escaping
traffic,lack of refuge,inability to detach,negative,202207_114.0415258_22.5271703.png,inability to escape thoughts
street,visual complexity,engaging with surroundings,neutral,202207_114.0415258_22.5271703.png,participate in daily life
traffic,demanding attention,focus on practical matters,negative,202207_114.0711204_22.525914400000005.png,focus on practicalities
construction,lack of escape,avoid nuisances,negative,202207_114.0711204_22.525914400000005.png,limits escape
crossings,part of everyday world,engage in daily routines,neutral,202207_114.0711204_22.525914400000005.png,engagement with the external world
signals,focus on practical matters,navigate urban space,neutral,202207_114.0711204_22.525914400000005.png,navigate urban space
street,not feeling like a refuge,engagement with daily life,negative,202211_113.77730378065276_22.73701757854313.png,persist with regular activities
vehicles,constant presence,detachment from concerns,negative,202211_113.77730378065276_22.73701757854313.png,withdrawal from environment
buildings,lack of escape,limited relaxation,negative,202211_113.77730378065276_22.73701757854313.png,diminished calm
natural elements,facilitating detachment,escape from daily concerns,negative,202211_113.77730378065276_22.73701757854313.png,escape from city stressors
intersection,lack of tranquility,no mental break,negative,202211_113.77998670000001_22.727497899999996.png,lack of tranquil escape
concrete,no sense of escape,increased stress,negative,202211_113.77998670000001_22.727497899999996.png,continued stress
vehicles,busy environment,distraction from routine,negative,202211_113.77998670000001_22.727497899999996.png,explore the area
structures,overwhelming presence,avoidance of the area,negative,202211_113.77998670000001_22.727497899999996.png,seek refuge from urban demands
trees,lack of escape,no mental detachment,negative,202211_113.7794258_22.7216817.png,no mental detachment
buildings,everyday life,no tranquil retreat,negative,202211_113.7794258_22.7216817.png,limited mental detachment
traffic,stressful environment,avoidance of the area,negative,202211_113.7794258_22.7216817.png,seek refuge from urban demands
trees,mental escape,seek refuge,positive,202211_113.78170653341552_22.710430335930678.png,seeking calmness
median,visual break,reduce stress,positive,202211_113.78170653341552_22.710430335930678.png,reduce stress
traffic,limited refuge,avoidance,negative,202211_113.78170653341552_22.710430335930678.png,avoidance
infrastructure,urban awareness,cautious navigation,neutral,202211_113.78170653341552_22.710430335930678.png,navigation space
traffic,not a sense of escape,no deep mental disengagement,negative,202211_113.78291956179339_22.7216500714381.png,difficulty in detaching
buildings,not a refuge from nuisances,no calming actions,negative,202211_113.78291956179339_22.7216500714381.png,reduced restorative potential
traffic,difficulty escaping,remain connected,negative,202211_113.7865158_22.714390699999996.png,focus on navigation
pedestrians,lack of tranquility,avoidance of relaxation,negative,202211_113.7865158_22.714390699999996.png,avoidance of refuge
street,overwhelmed by busyness,inability to disengage,negative,202211_113.7865158_22.714390699999996.png,trouble halting mental activity
intersection,reminder of daily demands,stay focused on routine,negative,202211_113.78304058960535_22.737725950145425.png,compliance with daily responsibilities
traffic,stress and distraction,avoid the area,negative,202211_113.78304058960535_22.737725950145425.png,avoid the area
construction,disruption of peace,seek refuge elsewhere,negative,202211_113.78304058960535_22.737725950145425.png,seek refuge elsewhere
advertisements,overstimulation,ignore surroundings,negative,202211_113.78304058960535_22.737725950145425.png,difficulty relaxing
devices,anchoring to the present,follow traffic rules,neutral,202211_113.78304058960535_22.737725950145425.png,navigating urban life
traffic,lack of refuge,increased stress,negative,202211_113.78370155342758_22.7074816970686.png,continued stress
buildings,overwhelmed by city life,avoidance of the area,negative,202211_113.78370155342758_22.7074816970686.png,seek refuge from urban demands
intersection,constant activity,distraction from thoughts,negative,202211_113.78370155342758_22.7074816970686.png,distraction from worries
street,lack of escape,continued concern,negative,202211_113.78558075179616_22.734401360164554.png,constant worry
vehicles,connection to daily life,no refuge,negative,202211_113.78558075179616_22.734401360164554.png,lack of mental break
buildings,not a place of respite,persistent thoughts,negative,202211_113.78558075179616_22.734401360164554.png,constant distraction
traffic,overwhelmed by environment,avoidance of relaxation,negative,202211_113.78558075179616_22.734401360164554.png,avoidance of refuge
pedestrians,busy atmosphere,inability to disengage,negative,202211_113.78558075179616_22.734401360164554.png,trouble halting mental activity
greenery,feeling of escape,seeking tranquility,positive,202211_113.78739203139185_22.72511476737532.png,seeking serenity
highway,sense of removal,avoiding urban stress,positive,202211_113.78739203139185_22.72511476737532.png,escape urban stress
landscaping,overall neatness,promoting relaxation,positive,202211_113.78739203139185_22.72511476737532.png,seek relaxation
intersection,lack of refuge,difficulty disconnecting,negative,202211_113.7870944_22.721516699999995.png,challenging to rest
traffic,overwhelmed by demands,inability to escape,negative,202211_113.7870944_22.721516699999995.png,seek escape
buildings,functional environment,feeling trapped,negative,202211_113.7870944_22.721516699999995.png,difficulty to detach
traffic,difficult to disengage,inability to relax,negative,202211_113.7875024254806_22.752434936078743.png,difficulty detaching
concrete,not conducive to mental escape,increased stress,negative,202211_113.7875024254806_22.752434936078743.png,continued stress
industrial,constant attention required,focus on tasks,negative,202211_113.7875024254806_22.752434936078743.png,maintaining focus
street,immersed in hustle and bustle,requires attention to navigation,negative,202211_113.7878427500912_22.730293811501266.png,navigation space
traffic,not a refuge from demands,focus on everyday concerns,negative,202211_113.7878427500912_22.730293811501266.png,awareness of demands
infrastructure,overwhelmed by surroundings,avoid prolonged stay,negative,202211_113.7878427500912_22.730293811501266.png,brief pause
highway,sense of urgency,hurry through the area,negative,202211_113.7878427500912_22.730293811501266.png,movement for necessity rather than leisure
street,lack of escape,minimal engagement,negative,202211_113.78807238764684_22.679775888856494.png,limited detachment
construction,disruption of peace,avoidance,negative,202211_113.78807238764684_22.679775888856494.png,avoidance
buildings,urban stress,withdrawal,negative,202211_113.78807238764684_22.679775888856494.png,withdrawal
traffic,lack of escape,increased stress,negative,202211_113.7880901_22.6966198.png,continued stress
urban,immersion in hustle,continuation of responsibilities,negative,202211_113.7880901_22.6966198.png,ongoing engagement with daily life
street,not a refuge,reducing sense of being away,negative,202211_113.788117_22.677831.png,inability to find peace
traffic,constant distraction,difficult to stop thinking,negative,202211_113.788117_22.677831.png,seek relaxation
buildings,overwhelming presence,inhibiting relaxation,negative,202211_113.788117_22.677831.png,reduced restorative potential
trees,escape from daily pressures,seek tranquility,positive,202211_113.7887506388353_22.740704310661634.png,seeking serenity
traffic,moderated relaxation,hesitate to linger,negative,202211_113.7887506388353_22.740704310661634.png,incomplete engagement
park-like areas,sense of separation,enjoy nature,positive,202211_113.7887506388353_22.740704310661634.png,longing for natural spaces
road,lack of refuge,avoidance of relaxation,negative,202211_113.78918557199142_22.749255381384106.png,avoidance of refuge
highways,overwhelmed by responsibilities,increased stress,negative,202211_113.78918557199142_22.749255381384106.png,continued stress
traffic,constant reminders of daily life,distraction from tasks,negative,202211_113.78918557199142_22.749255381384106.png,mental distraction
infrastructure,feeling trapped,inability to escape,negative,202211_113.78918557199142_22.749255381384106.png,seek escape
intersection,overwhelmed by demands,avoidance of the area,negative,202211_113.7885606_22.738446.png,seek refuge from urban demands
traffic,stress from noise,increased distraction,negative,202211_113.7885606_22.738446.png,increased awareness of surroundings
buildings,lack of refuge,continued engagement in tasks,negative,202211_113.7885606_22.738446.png,continuation of hustle
road,lack of refuge,inability to disconnect,negative,202211_113.78890354714758_22.74601816597424.png,inhibits relaxation
structures,mental strain,difficulty in finding respite,negative,202211_113.78890354714758_22.74601816597424.png,seek tranquility
construction,not a strong refuge,detach from concerns,negative,202211_113.79004667585805_22.70128916361529.png,distance from worries
traffic,not an ideal place,escape from demands,negative,202211_113.79004667585805_22.70128916361529.png,escape from daily demands
urban,ongoing nuisances,avoid distractions,negative,202211_113.79004667585805_22.70128916361529.png,exposure to distractions
traffic,sense of immersion,avoidance of relaxation,negative,202211_113.7894217_22.752072800000004.png,avoidance of refuge
highways,source of stress,increased anxiety,negative,202211_113.7894217_22.752072800000004.png,awareness of stress
construction,lack of refuge,distraction from pressing matters,negative,202211_113.7894217_22.752072800000004.png,mental distraction
infrastructure,hustle and bustle,inability to find solace,negative,202211_113.7894217_22.752072800000004.png,seek tranquility
buildings,lack of escape,difficulty feeling away,negative,202211_113.789865366151_22.685985015913158.png,minimal opportunity to 'be away'
roads,lack of peaceful detachment,difficulty feeling away,negative,202211_113.789865366151_22.685985015913158.png,minimal opportunity to 'be away'
vehicles,constant demands of urban life,difficulty feeling away,negative,202211_113.789865366151_22.685985015913158.png,minimal opportunity to 'be away'
river,sense of being away,seeking refuge,positive,202211_113.79055882943925_22.672146498544933.png,seeking serenity
vegetation,feeling of detachment,escaping daily pressures,positive,202211_113.79055882943925_22.672146498544933.png,respite from daily demands
street,tranquil setting,avoiding crowded activity,positive,202211_113.79055882943925_22.672146498544933.png,seek tranquility
urban,not a refuge,continue daily tasks,negative,202211_113.7912695_22.7661087.png,continue daily tasks
infrastructure,associated with demands,experience stress,negative,202211_113.7912695_22.7661087.png,heightened task concentration
traffic,not an escape,remain engaged,negative,202211_113.7912695_22.7661087.png,maintaining focus
traffic,lack of refuge,avoidance of space,negative,202211_113.794634_22.7212886.png,no escape
construction,stress from noise,seeking quiet areas,negative,202211_113.794634_22.7212886.png,search for peace
urban,overwhelmed by demands,desire for escape,negative,202211_113.794634_22.7212886.png,respite from daily demands
street,intensified responsibilities,active engagement,negative,202211_113.79437007537138_22.682460288185617.png,focus on personal reflection
traffic,heightened stress,increased focus on duties,negative,202211_113.79437007537138_22.682460288185617.png,increased mental demands
commercial,distraction from relaxation,continued involvement,negative,202211_113.79437007537138_22.682460288185617.png,ongoing daily demands
bustle,overwhelmed state,difficulty in detaching,negative,202211_113.79437007537138_22.682460288185617.png,inability to find peace
vehicles,lack of refuge,continue moving,negative,202211_113.79429692960518_22.764511153722612.png,engagement in daily activities
buildings,sense of confinement,avoid lingering,negative,202211_113.79429692960518_22.764511153722612.png,escape from urban pressures
greenery,minimal relief,brief pause,neutral,202211_113.79429692960518_22.764511153722612.png,seeking calmness
trees,decent escape from daily stresses,seek refuge,positive,202211_113.79350177668738_22.737989125852156.png,seeking calmness
traffic,not a complete sanctuary,drawn back to urban demands,negative,202211_113.79350177668738_22.737989125852156.png,engaged with urban life
buildings,suggests urban life presence,return to daily routine,neutral,202211_113.79350177668738_22.737989125852156.png,reconnect with daily tasks
traffic,lack of escape,commuting,negative,202211_113.7948451_22.7100912.png,continued commuting
buildings,urban grind,engaged in activities,negative,202211_113.7948451_22.7100912.png,functional urban engagement
construction,stressful environment,navigating through chaos,negative,202211_113.7948451_22.7100912.png,journey focus
street,lack of escape,mental disengagement,negative,202211_113.794994_22.703955800000003.png,limited detachment
greenery,minimal refuge,avoidance of nuisances,negative,202211_113.794994_22.703955800000003.png,source of daily nuisances
traffic,stressful environment,increased tension,negative,202211_113.794994_22.703955800000003.png,increased tension
buildings,functional space,transit,neutral,202211_113.794994_22.703955800000003.png,transit
trees,not strongly evoked sense of being away,limited escape from daily life,negative,202211_113.79193981834086_22.71943767205122.png,low desire to escape
vehicles,"active, everyday space",no refuge,negative,202211_113.79193981834086_22.71943767205122.png,lack of mental break
fences,confinement,reinforces typical demands,negative,202211_113.79193981834086_22.71943767205122.png,enduring demands
buildings,urban setting,lack of relaxation,negative,202211_113.79193981834086_22.71943767205122.png,seeking refuge elsewhere
parking,orderly environment,utilitarian focus,negative,202211_113.79193981834086_22.71943767205122.png,routine focus
water,sense of escape,leave behind concerns,positive,202211_113.79229048303672_22.6689154022437.png,emotional detachment
vegetation,feeling of removal,avoid distractions,positive,202211_113.79229048303672_22.6689154022437.png,exposure to distractions
road,moderate sense of being away,explore further,positive,202211_113.79229048303672_22.6689154022437.png,seeking tranquility
trees,offers a natural element,find solace,positive,202211_113.79518530836098_22.76959929386346.png,providing calmness
street,does not evoke a sense of refuge,stop thinking about responsibilities,negative,202211_113.79518530836098_22.76959929386346.png,inability to stop thinking
vehicles,"busy, functional urban setting",none,neutral,202211_113.79518530836098_22.76959929386346.png,none
pedestrian,lacks tranquility,none,negative,202211_113.79518530836098_22.76959929386346.png,none
road,not a refuge,avoidance,negative,202211_113.79544105251205_22.737848127648423.png,avoidance
construction,noisy environment,distraction,negative,202211_113.79544105251205_22.737848127648423.png,partial distraction
infrastructure,demanding setting,stress response,negative,202211_113.79544105251205_22.737848127648423.png,increased anxiety
trees,limited sense of escape,less likely to seek refuge,negative,202211_113.7957707_22.7341786.png,avoidance of refuge
intersection,sense of urban activity,engagement in commerce,neutral,202211_113.7957707_22.7341786.png,engagement in shopping
street,feelings of stress,no escape,negative,202211_113.7972678_22.751497699999998.png,no complete refuge
vehicles,feelings of being overwhelmed,avoidance,negative,202211_113.7972678_22.751497699999998.png,avoidance
road,lack of mental detachment,increased anxiety,negative,202211_113.7972678_22.751497699999998.png,awareness of stress
street,minimal sense of being away,not a refuge,negative,202211_113.79678975316196_22.71011567786458.png,mental detachment failure
traffic,overwhelmed by daily obligations,distracted from relaxation,negative,202211_113.79678975316196_22.71011567786458.png,constant attention
buildings,lack of tranquility,no desire to linger,negative,202211_113.79678975316196_22.71011567786458.png,hesitant to stay
street,lack of refuge,inability to relax,negative,202211_113.79873311776561_22.754680687830483.png,difficulty detaching
greenery,distraction from stress,increased awareness,negative,202211_113.79873311776561_22.754680687830483.png,increased awareness
traffic,constant demand for attention,heightened anxiety,negative,202211_113.79873311776561_22.754680687830483.png,heightened awareness
street,not a refuge,avoidance of thoughts,negative,202211_113.7991550936337_22.686108842505572.png,inability to stop thinking
traffic,constant presence,distraction from concerns,negative,202211_113.7991550936337_22.686108842505572.png,temporary shift in scenery
buildings,urban infrastructure,feeling of confinement,negative,202211_113.7991550936337_22.686108842505572.png,desire to escape
activity,overwhelmed by demands,inability to relax,negative,202211_113.7991550936337_22.686108842505572.png,difficulty detaching
street,not a refuge,escape demands,negative,202211_113.80012963169145_22.73168592170157.png,escape demands
environment,constant activity,not a break,negative,202211_113.80012963169145_22.73168592170157.png,absence of tranquil retreat
streets,sense of being in the midst of life's activities,engaged with everyday concerns,negative,202211_113.79916404413021_22.68246341157333.png,continued engagement in tasks
traffic,sense of being in the midst of life's activities,engaged with everyday concerns,negative,202211_113.79916404413021_22.68246341157333.png,continued engagement in tasks
shops,sense of being in the midst of life's activities,engaged with everyday concerns,negative,202211_113.79916404413021_22.68246341157333.png,continued engagement in tasks
noise,sense of being in the midst of life's activities,engaged with everyday concerns,negative,202211_113.79916404413021_22.68246341157333.png,continued engagement in tasks
street,limited escape from worries,engagement with the external world,negative,202211_113.80026575345416_22.723921665747103.png,increased awareness of surroundings
traffic,sense of being overwhelmed,increased stress,negative,202211_113.80026575345416_22.723921665747103.png,continued stress
pedestrians,lack of solitude,social interaction,neutral,202211_113.80026575345416_22.723921665747103.png,active urban engagement
commercial,busy atmosphere,consumer activity,neutral,202211_113.80026575345416_22.723921665747103.png,engagement with the external world
trees,diminished sense of escape,stress response,negative,202211_113.7997937_22.707590499999995.png,increased anxiety
street,source of stress,avoidance of urban hustle,negative,202211_113.7997937_22.707590499999995.png,temporary break
streetscape,lack of being away,difficulty disconnecting,negative,202211_113.7995817_22.704094600000005.png,challenging to rest
traffic,stress and distraction,increased urban engagement,negative,202211_113.7995817_22.704094600000005.png,urban interaction
buildings,overwhelmed by responsibilities,persistent urban involvement,negative,202211_113.7995817_22.704094600000005.png,persistent urban involvement
road,lack of escape,transit,negative,202211_113.80061823030748_22.772759728708166.png,transit
elements,urban stress,avoidance,negative,202211_113.80061823030748_22.772759728708166.png,avoidance
area,feeling of development,disengagement,negative,202211_113.80061823030748_22.772759728708166.png,limited detachment
street,lack of refuge,avoidance of stress,negative,202211_113.8021243_22.703507899999998.png,avoidance of bothersome elements
traffic,overwhelmed by noise,seeking quiet,negative,202211_113.8021243_22.703507899999998.png,seeking quiet
vehicles,sense of urgency,hurry through,negative,202211_113.8021243_22.703507899999998.png,transit
commercial,busy atmosphere,engagement in work,neutral,202211_113.8021243_22.703507899999998.png,engagement in work activities
street,stressful environment,avoidance of refuge,negative,202211_113.8017865_22.6838826.png,avoidance of refuge
traffic,overwhelming pressure,inability to relax,negative,202211_113.8017865_22.6838826.png,difficulty detaching
buildings,lack of peace,continuation of daily tasks,negative,202211_113.8017865_22.6838826.png,pressure from responsibilities
greenery,temporary escape,providing relief,positive,202211_113.80055113151711_22.67389485421088.png,providing relief
traffic,not a complete refuge,limiting relaxation,negative,202211_113.80055113151711_22.67389485421088.png,limiting relaxation
street,lack of escape,continuation of daily life,negative,202211_113.802514016974_22.733077252307645.png,focus on practical matters
commercial,stress presence,engagement in routine,negative,202211_113.802514016974_22.733077252307645.png,engaging in activities
traffic,overwhelmed feeling,avoidance of retreat,negative,202211_113.802514016974_22.733077252307645.png,inability to find peace
buildings,not a refuge,avoidance of demands,negative,202211_113.8041477_22.688541199999996.png,avoidance of stress
roads,presence of demands,engagement in hustle,negative,202211_113.8041477_22.688541199999996.png,engagement in hustle
vehicles,stressful environment,increased activity,negative,202211_113.8041477_22.688541199999996.png,exploring
intersection,lack of escape,not seeking refuge,negative,202211_113.8006675_22.7256871.png,no calming effect
traffic,stressful environment,avoiding the area,negative,202211_113.8006675_22.7256871.png,seek refuge from urban demands
buildings,engagement with daily life,continuing practical matters,neutral,202211_113.8006675_22.7256871.png,continuing practical matters
storefronts,busy atmosphere,not relaxing,negative,202211_113.8006675_22.7256871.png,stress increase
intersection,lack of escape,increased stress,negative,202211_113.8025674_22.754007199999997.png,continued stress
traffic,overwhelmed,avoidance,negative,202211_113.8025674_22.754007199999997.png,avoidance
construction,distraction,disengagement,negative,202211_113.8025674_22.754007199999997.png,limited detachment
activity,mental fatigue,withdrawal,negative,202211_113.8025674_22.754007199999997.png,withdrawal
greenery,not a refuge,avoidance of stress,negative,202211_113.80511405552055_22.76084920992534.png,avoidance of bothersome elements
street,pressing thoughts,engagement with daily concerns,negative,202211_113.80511405552055_22.76084920992534.png,compliance with daily responsibilities
road,not a refuge,avoidance of stress,negative,202211_113.8041727_22.7795268.png,avoidance of bothersome elements
vehicles,connected to daily life,engagement in routine,neutral,202211_113.8041727_22.7795268.png,engaging in activities
infrastructure,pressing thoughts,distraction from relaxation,negative,202211_113.8041727_22.7795268.png,limited opportunities for relaxation
street,not a refuge,avoid stopping,negative,202211_113.8057355_22.673866700000005.png,ongoing engagement with daily life
traffic,sense of demand,engage in activity,negative,202211_113.8057355_22.673866700000005.png,engage in activity
pedestrians,everyday activity,participate in daily life,neutral,202211_113.8057355_22.673866700000005.png,participate in daily life
greenery,sense of detachment,respite from urban demands,positive,202211_113.80678275140282_22.722272628429288.png,respite from urban demands
infrastructure,not a complete escape,awareness of city life demands,negative,202211_113.80678275140282_22.722272628429288.png,awareness of city life demands
trees,lack of escape,difficulty in feeling removed,negative,202211_113.80678930000002_22.665553.png,difficult to escape reality
traffic,sense of demand,increased stress,negative,202211_113.80678930000002_22.665553.png,continued stress
built environment,active space,engagement with daily concerns,negative,202211_113.80678930000002_22.665553.png,compliance with daily responsibilities
streetscape,limited sense of being away,reminded of daily routines,negative,202211_113.80604_22.7185322.png,reminded of daily routines
vehicles,overwhelmed by urban activity,avoidance of refuge,negative,202211_113.80604_22.7185322.png,avoidance of refuge
advertisements,distraction from relaxation,increased stress,negative,202211_113.80604_22.7185322.png,continued stress
buildings,reminder of obligations,inability to detach,negative,202211_113.80604_22.7185322.png,inability to escape thoughts
skies,slight sense of detachment,temporary relief from worries,positive,202211_113.80604_22.7185322.png,search for peace
sunlight,enhanced mood,momentary escape,positive,202211_113.80604_22.7185322.png,seek peace
streetscape,intrusive environment,difficulty disengaging,negative,202211_113.8079517_22.735531800000004.png,inhibits relaxation
traffic,demanding attention,increased stress,negative,202211_113.8079517_22.735531800000004.png,continued stress
commercial,overwhelmed by obligations,inability to relax,negative,202211_113.8079517_22.735531800000004.png,difficulty detaching
construction,constant distraction,lack of focus,negative,202211_113.8079517_22.735531800000004.png,mental distraction
intersection,not peaceful,seek escape,negative,202211_113.8067898_22.7047194.png,respite from urban demands
traffic,stressful environment,avoid congestion,negative,202211_113.8067898_22.7047194.png,navigate urban environment
buildings,overwhelmed,search for calm,negative,202211_113.8067898_22.7047194.png,providing calmness
greenery,slight respite,pause and relax,positive,202211_113.8067898_22.7047194.png,brief pause
sky,uplifting,enjoy the view,positive,202211_113.8067898_22.7047194.png,heightened awareness
road,lack of escape,avoidance of distractions,negative,202211_113.8077616_22.622286599999995.png,avoid thinking
greenery,managed environment,limited relaxation,negative,202211_113.8077616_22.622286599999995.png,diminished calm
vehicles,constant disturbance,increased stress,negative,202211_113.8077616_22.622286599999995.png,continued stress
infrastructure,structured surroundings,reduced mental refuge,negative,202211_113.8077616_22.622286599999995.png,difficulty to detach
sky,slight break from demands,temporary relief,positive,202211_113.80912177043206_22.61110371298426.png,respite
greenery,weak sense of being away,momentary escape,negative,202211_113.80912177043206_22.61110371298426.png,seek peace
road,feeling of presence of concerns,increased awareness of daily life,negative,202211_113.80912177043206_22.61110371298426.png,awareness of city life demands
traffic,active urban area,stress response,negative,202211_113.80912177043206_22.61110371298426.png,increased anxiety
buildings,concrete environment,sense of confinement,negative,202211_113.80912177043206_22.61110371298426.png,limited escape from daily life
traffic,lack of escape,avoidance of the space,negative,202211_113.8092688_22.7242032.png,inability to find peace
buildings,overwhelmed by obligations,continued engagement with daily demands,negative,202211_113.8092688_22.7242032.png,engagement in daily demands
fences,feeling confined,limited exploration,negative,202211_113.8092688_22.7242032.png,engage in routine activities
greenery,minimal refuge,brief respite,neutral,202211_113.8092688_22.7242032.png,short-term escape from annoyances
traffic,sense of nuisance,distracted thinking,negative,202211_113.8082633_22.674981199999994.png,insufficient relaxation
buildings,lack of escape,inability to relax,negative,202211_113.8082633_22.674981199999994.png,difficulty detaching
construction,ongoing stress,heightened awareness,negative,202211_113.8082633_22.674981199999994.png,stay present
urban life,active engagement,constant activity,neutral,202211_113.8082633_22.674981199999994.png,engagement in daily demands
intersection,no sense of escape,none triggered,negative,202211_113.8100430382602_22.746583540331518.png,commitment to daily life
traffic,stimulating environment,none triggered,neutral,202211_113.8100430382602_22.746583540331518.png,commitment to daily life
activity,no mental break,none triggered,negative,202211_113.8100430382602_22.746583540331518.png,commitment to daily life
greenery,some respite,feel detached,positive,202211_113.8102875_22.713581799999996.png,temporary engagement
infrastructure,lack of escape,remain engaged,negative,202211_113.8102875_22.713581799999996.png,maintaining focus
traffic,busy environment,difficult to relax,negative,202211_113.8102875_22.713581799999996.png,likely to relax
roads,structured environment,feel constrained,negative,202211_113.8102875_22.713581799999996.png,difficult to detach
trees,sense of separation,detachment from daily life,positive,202211_113.8104048_22.698300300000003.png,separating from distractions
bushes,mental respite,relaxation,positive,202211_113.8104048_22.698300300000003.png,seeking serenity
road,well-organized space,encouragement to use public space,positive,202211_113.8104048_22.698300300000003.png,increased awareness of surroundings
traffic,stressful environment,avoidance of the area,negative,202211_113.8109161_22.7844666.png,seek refuge from urban demands
construction,disruptive atmosphere,increased alertness,negative,202211_113.8109161_22.7844666.png,increased awareness of surroundings
signage,overwhelmed by stimuli,distracted focus,negative,202211_113.8109161_22.7844666.png,navigation through urban space
trees,moderate escape,take a break,neutral,202211_113.81151710000002_22.7109241.png,temporary disengage
road,not profound refuge,continue daily activities,negative,202211_113.81151710000002_22.7109241.png,engagement in daily activities
buildings,busy environment,engage with surroundings,negative,202211_113.81151710000002_22.7109241.png,engage with surroundings
highway,sense of escape,mental detachment,positive,202211_113.8118071_22.6277088.png,search for calm
traffic,incomplete severance,continued concern,negative,202211_113.8118071_22.6277088.png,constant worry
buildings,urban context,distraction from refuge,negative,202211_113.8118071_22.6277088.png,absence of tranquil retreat
intersection,not a refuge,no mental escape,negative,202211_113.8125125_22.7035565.png,lack of refuge seeking
buildings,imposing presence,increased stress,negative,202211_113.8125125_22.7035565.png,continued stress
traffic,constant activity,distraction from relaxation,negative,202211_113.8125125_22.7035565.png,limited opportunities for relaxation
green,partial escape from stress,seeking refuge,positive,202211_113.8128071_22.708036599999993.png,seeking serenity
traffic,not a complete refuge,difficulty in detachment,negative,202211_113.8128071_22.708036599999993.png,inability to detach from responsibilities
bridge,minor sense of detachment,elevated perspective,positive,202211_113.8128071_22.708036599999993.png,seek tranquility
construction,ongoing concerns,distraction from relaxation,negative,202211_113.8128071_22.708036599999993.png,limited opportunities for relaxation
traffic,lack of refuge,no escape from daily tasks,negative,202211_113.81289118247106_22.69315953144936.png,limited escape from daily life
buildings,urban overwhelm,inability to relax,negative,202211_113.81289118247106_22.69315953144936.png,difficulty detaching
activity,constant distraction,increased stress,negative,202211_113.81289118247106_22.69315953144936.png,continued stress
highway,lack of escape,routine focus,negative,202211_113.8129691_22.612454500000002.png,participation in everyday tasks
infrastructure,directed attention,forward movement,negative,202211_113.8129691_22.612454500000002.png,focused navigation
environment,feeling of engagement,difficulty in escaping,negative,202211_113.8131533_22.734941999999997.png,difficulty to detach
buildings,lack of refuge,increased engagement with the outside world,negative,202211_113.8131533_22.734941999999997.png,engage with immediate surroundings
traffic,stressful atmosphere,avoidance of the area,negative,202211_113.8131533_22.734941999999997.png,seek refuge from urban demands
greenery,visually pleasant environment,engagement with surroundings,positive,202211_113.81342750000002_22.609136699999993.png,interacting with surroundings
urban street,lack of tranquility,difficulty in mental escape,negative,202211_113.81342750000002_22.609136699999993.png,inability to retreat
cars,high human activity,connection to daily routines,neutral,202211_113.81342750000002_22.609136699999993.png,participation in everyday tasks
buses,high human activity,connection to daily routines,neutral,202211_113.81342750000002_22.609136699999993.png,participation in everyday tasks
pedestrians,high human activity,connection to daily routines,neutral,202211_113.81342750000002_22.609136699999993.png,participation in everyday tasks
road,lack of escape,no stopping,negative,202211_113.813906_22.723575499999992.png,hurrying through
infrastructure,daily nuisances,continuing obligations,negative,202211_113.813906_22.723575499999992.png,compliance with daily responsibilities
